g,lr,rv,qi,r,p
0.69887,0.01861,0.450757042561,-0.373226092095,36,195
0.87066,0.83135,0.604501534561,-4.92375275568,32,282
0.91932,0.03376,0.00173440933411,-3.09634111857,9,4
0.00919,0.90568,0.0232984772827,0.28456106428,93,12
0.9545,0.68057,0.81445932859,-0.938662996153,24,457
0.87237,0.92156,0.508058108328,-4.97058448764,37,277
0.81329,0.99098,0.566659323513,0.440467689706,71,254
0.45085,0.1192,0.542722103756,3.34931081806,74,257
0.98464,0.10864,0.915045792433,-1.33364745692,36,499
0.42375,0.58455,0.410930320246,-4.56566739274,79,199
0.77026,0.31283,0.199975816288,-3.63579858783,84,152
0.02806,0.88677,0.84531142477,-3.49244840342,54,408
0.56914,0.64593,0.57084094058,0.647243411936,73,233
0.34656,0.11889,0.367570385819,-3.41503624953,72,234
0.05426,0.63434,0.746553572042,-1.48367791517,58,329
0.28771,0.27096,0.842786032851,-1.95451975895,57,399
0.44391,0.8517,0.59024510245,4.35990118409,68,294
0.47516,0.77945,0.562121132388,-1.59878287392,67,263
0.52381,0.1547,0.375594773067,4.45804445893,87,140
0.21257,0.1917,0.49009353556,2.84123118293,81,210
0.95352,0.93471,0.0627600719926,0.326399551435,18,169
0.58339,0.9638,0.408979960914,-2.32708952794,81,166
0.30788,0.45228,0.646481188906,0.102774461187,68,294
0.93713,0.51116,0.862953920564,-2.12581524465,20,465
0.39405,0.16254,0.49511852693,-4.87090131907,73,243
0.1377,0.66245,0.336517940779,-3.34039242455,87,143
0.38223,0.81209,0.678114398366,3.94067487749,64,321
0.80484,0.792,0.306560100016,4.84216125595,82,144
0.48325,0.65004,0.363840054509,-1.99002074999,83,159
0.0823,0.20193,0.598347957695,0.568354413426,68,258
0.99116,0.20157,0.182324863826,2.62141592916,52,103
0.63856,0.06551,0.574584492359,4.22383164555,72,223
0.46234,0.3094,0.95711782284,4.39611698143,51,398
0.19235,0.41435,0.522317634561,-2.93506025372,75,258
0.53503,0.57184,0.727862449427,2.25542921298,66,346
0.35043,0.04132,0.684563768949,1.93365509533,60,344
0.14735,0.23039,0.0582783620371,-4.20288315949,39,252
0.24043,0.11039,0.540591920914,-1.84181635708,70,226
0.9819,0.94233,0.885899625953,0.983376142321,20,471
0.93163,0.62377,0.879103804042,-1.56640525066,19,435
0.09632,0.80579,0.294155467204,2.46572272703,87,120
0.55031,0.06255,0.724085885515,-4.09579290088,51,348
0.11827,0.68639,0.143019374226,4.37204821362,99,48
0.86552,0.27634,0.643722814816,1.46824299047,56,351
0.35535,0.12849,0.267461757187,3.9953376834,91,98
0.21014,0.45277,0.721397087722,2.53535439877,67,324
0.72874,0.90409,0.351131166045,3.66611294685,81,169
0.12452,0.05095,0.217295859184,-3.01948259128,14,394
0.90541,0.30132,0.754574797433,-1.48871212868,42,348
0.60743,0.23547,0.693369976333,4.24980560957,68,344
0.28197,0.79761,0.110027853482,1.28719204499,97,37
0.18834,0.74964,0.254980261852,2.99402967159,90,100
0.26029,0.5571,0.411260290349,-0.71004176077,80,163
0.06623,0.91882,0.828260050956,-1.17531877691,57,406
0.54827,0.47413,0.128849486547,-1.99430049552,52,74
0.87756,0.35253,0.799532944415,2.37372904082,50,374
0.4843,0.82492,0.170067510381,4.24167115393,95,77
0.65827,0.27666,0.725420385104,-1.51623171918,56,400
0.26922,0.6388,0.265234224016,-3.55257872672,86,106
0.45046,0.78366,0.832463053453,-4.71374468426,57,380
0.34325,0.68067,0.0228676045728,0.104375396925,69,15
0.15603,0.6172,0.487182364851,2.07021479446,80,171
0.08344,0.71659,0.805394740592,0.87838972547,62,417
0.92293,0.85959,0.451479124547,3.12338189084,31,234
0.67765,0.55638,0.473544687798,-0.295423586301,69,201
0.81159,0.34882,0.702767247424,0.779998987676,59,337
0.02471,0.03582,0.120908491973,0.408637518332,78,44
0.24976,0.00957,0.630349156072,-1.73846629261,50,290
0.29543,0.03583,0.681658681696,-1.60716427666,60,370
0.46683,0.72055,0.928018356566,1.6003039822,55,437
0.09864,0.94113,0.291101625783,-0.531390026919,87,92
0.62489,0.82878,0.675662390187,-3.62974359507,57,347
0.80057,0.67074,0.941819154495,-2.97497727317,41,551
0.85827,0.19903,0.54635095858,-2.17532735871,49,254
0.16266,0.55406,0.872945597274,4.2589038767,54,406
0.92144,0.683,0.212445026333,3.25873452932,38,96
0.50529,0.10437,0.56395028486,3.52961061086,79,265
0.8676,0.02703,0.991597157456,0.515979923046,45,522
0.3875,0.33899,0.939755231005,-2.75798052963,48,521
0.33078,0.34629,0.576058716522,-3.36968607561,65,252
0.96768,0.89496,0.0355515047931,-3.7509952478,8,35
0.18797,0.44414,0.449316931258,4.1203637481,88,173
0.0388,0.79975,0.990380178395,0.381730534045,42,454
0.93135,0.29542,0.434349605929,0.548699623423,40,226
0.40874,0.80409,0.696005799978,-3.04790444535,60,352
0.92521,0.54572,0.688595116666,-2.78765393849,31,377
0.22519,0.07683,0.777179218958,3.51854520436,59,378
0.8937,0.38836,0.736084438362,3.02177208277,53,340
0.17434,0.33506,0.669944145931,-2.19910260866,61,300
0.0607,0.50194,0.348135234037,1.62641664484,85,156
0.49106,0.7291,0.416032235401,3.04788008424,80,179
0.43024,0.60087,0.135270167272,-0.927872868742,91,39
0.81583,0.7379,0.358158547213,1.78033615086,84,126
0.31707,0.85677,0.35286560156,-0.0904929540946,84,150
0.6614,0.22829,0.227921597703,2.37372599278,74,86
0.22297,0.44212,0.772434725932,0.834717748609,61,403
0.49409,0.18721,0.0710254985714,-3.43006091057,53,238
0.36639,0.98273,0.158141953159,-2.94045487661,94,148
0.92251,0.35354,0.359526104315,-3.81886942983,18,236
0.75835,0.70033,0.801968874183,-0.989478044181,54,385
0.79925,0.57401,0.202243835952,-1.46990868598,92,132
0.55026,0.44961,0.338681608003,1.11496974444,81,131
0.19703,0.44537,0.403117714689,-3.75268477874,84,162
0.18623,0.15473,0.244820095877,0.698496716649,91,76
0.53834,0.22522,0.52760794368,4.56266643188,79,192
0.65841,0.12707,0.109925434654,-4.22713788562,14,618
0.99714,0.79421,0.513650076844,1.62742589924,15,763
0.81429,0.13169,0.820970440129,4.90919139244,46,455
0.76173,0.71799,0.358827062988,-3.2055637266,88,126
0.26539,0.46223,0.492585834431,2.19043775141,87,165
0.34461,0.42709,0.507849285924,-3.81296192098,73,222
0.99849,0.9648,0.461771199775,0.396106535086,13,323
0.77677,0.74176,0.718176949261,-0.5540032933,56,359
0.17568,0.81159,0.875185197753,2.49235054058,48,410
0.74686,0.23274,0.0391639429485,-1.5317751672,31,48
