final_learning_rate,include_digit_length_classifier,layers,learning_rate,num_hidden,step,test_accuracy,train_accuracy,use_dropout,use_max_pool,valid_accuracy
0.02393,False,[8],0.025,64,8434,0.637,0.578,True,False,0.591
0.02379,False,[8],0.025,128,9576,0.695,0.703,True,True,0.658
0.09807,False,[32],0.1,128,3773,0.731,0.99,False,False,0.751
0.09589,False,[16],0.1,32,8100,0.709,0.708,True,True,0.672
0.02455,False,"[16, 32]",0.025,64,3541,0.634,0.578,True,True,0.581
0.09718,False,[32],0.1,64,5521,0.734,0.76,True,True,0.712
0.02388,False,[16],0.025,32,8892,0.75,0.792,False,True,0.753
0.04867,False,"[8, 16, 32]",0.05,64,5191,0.81,0.922,False,True,0.822
0.09517,False,[8],0.1,128,9564,0.756,0.719,True,True,0.735
0.09943,False,"[8, 16, 32]",0.1,64,1104,0.436,0.396,False,False,0.379
0.09681,False,"[8, 16]",0.1,32,6263,0.728,0.698,True,True,0.678
0.02432,False,"[8, 16, 32]",0.025,32,5302,0.785,0.88,False,True,0.777
0.04866,False,"[8, 16, 32]",0.05,128,5237,0.815,0.964,False,True,0.809
0.0246,False,"[8, 16]",0.025,64,3142,0.762,0.807,False,False,0.758
0.02483,False,"[16, 32]",0.025,32,1300,0.493,0.427,True,False,0.429
0.04828,False,"[8, 16]",0.05,32,6748,0.81,0.896,False,True,0.803
0.09804,False,[32],0.1,64,3828,0.685,0.719,True,False,0.653
0.09947,False,"[8, 16, 32]",0.1,32,1031,0.436,0.391,True,False,0.379
0.02402,False,[16],0.025,64,7697,0.743,0.901,False,False,0.743
0.049,False,"[16, 32]",0.05,32,3901,0.817,0.88,False,True,0.816
0.02363,False,[8],0.025,64,10906,0.761,0.854,False,True,0.768
0.09851,False,"[8, 16]",0.1,128,2907,0.719,0.88,False,False,0.747
0.02436,False,"[8, 16, 32]",0.025,64,4992,0.591,0.589,True,True,0.532
0.04834,False,[32],0.05,32,6531,0.768,0.885,False,True,0.771
0.04852,False,[32],0.05,128,5803,0.783,0.953,False,True,0.783
