final_learning_rate,include_digit_length_classifier,layers,learning_rate,num_hidden,step,test_accuracy,train_accuracy,use_dropout,use_max_pool,valid_accuracy
0.0249,False,"[16, 32]",0.025,32,799,0.54,0.432,False,True,0.491
0.0495,False,[8],0.05,128,1954,0.684,0.734,False,False,0.674
0.02485,False,"[8, 16, 32]",0.025,64,1163,0.652,0.656,False,True,0.595
0.02486,False,[32],0.025,128,1120,0.626,0.677,False,True,0.584
0.04958,False,[8],0.05,128,1622,0.539,0.526,True,False,0.491
0.04962,False,"[8, 16]",0.05,32,1473,0.724,0.797,False,True,0.678
0.09963,False,"[16, 32]",0.1,128,710,0.592,0.552,True,True,0.529
0.04971,False,[32],0.05,32,1142,0.499,0.411,True,True,0.445
0.04963,False,"[8, 16]",0.05,32,1438,0.504,0.495,True,True,0.451
0.02497,False,"[8, 16, 32]",0.025,32,249,0.459,0.453,False,False,0.411
0.09941,False,"[8, 16, 32]",0.1,32,1149,0.493,0.448,True,True,0.43
0.02482,False,"[8, 16]",0.025,128,1402,0.503,0.453,True,True,0.439
0.04953,False,[16],0.05,32,1821,0.505,0.458,True,True,0.458
0.09922,False,"[8, 16]",0.1,32,1509,0.782,0.849,False,True,0.754
0.02496,False,"[16, 32]",0.025,64,308,0.484,0.438,False,False,0.439
0.09885,False,[8],0.1,64,2238,0.71,0.818,False,False,0.693
0.09984,False,"[16, 32]",0.1,64,307,0.53,0.547,False,False,0.492
0.0249,False,"[16, 32]",0.025,128,799,0.63,0.573,False,True,0.574
0.02492,False,"[8, 16]",0.025,128,610,0.598,0.604,False,False,0.545
0.04971,False,"[8, 16, 32]",0.05,128,1133,0.508,0.427,True,True,0.451
0.0996,False,"[16, 32]",0.1,64,778,0.579,0.563,True,True,0.526
0.09943,False,[32],0.1,64,1099,0.589,0.51,True,True,0.534
0.04969,False,"[8, 16, 32]",0.05,128,1183,0.735,0.807,False,True,0.693
0.02487,False,[16],0.025,128,1026,0.462,0.417,True,False,0.413
0.04986,False,"[8, 16]",0.05,64,546,0.462,0.396,True,False,0.411
0.0497,False,"[8, 16, 32]",0.05,64,1144,0.511,0.453,True,True,0.445
0.09939,False,"[8, 16, 32]",0.1,128,1186,0.778,0.859,False,True,0.746
0.04982,False,[32],0.05,64,679,0.488,0.422,True,False,0.43
0.04964,False,"[8, 16]",0.05,128,1404,0.602,0.583,True,True,0.548
